DATE,DCDIST5POP
1970-01-01,756.668
1971-01-01,750.600
1972-01-01,743.800
1973-01-01,733.700
1974-01-01,720.800
1975-01-01,710.300
1976-01-01,696.300
1977-01-01,681.800
1978-01-01,670.000
1979-01-01,655.600
1980-01-01,638.432
1981-01-01,636.893
1982-01-01,634.174
1983-01-01,632.433
1984-01-01,633.382
1985-01-01,634.549
1986-01-01,638.269
1987-01-01,636.930
1988-01-01,630.432
1989-01-01,624.168
1990-01-01,605.321
1991-01-01,600.870
1992-01-01,597.565
1993-01-01,595.301
1994-01-01,589.239
1995-01-01,580.517
1996-01-01,572.377
1997-01-01,567.736
1998-01-01,565.230
1999-01-01,570.213
2000-01-01,571.776
2001-01-01,578.228
2002-01-01,579.736
2003-01-01,577.844
2004-01-01,579.890
2005-01-01,582.049
2006-01-01,583.841
2007-01-01,585.916
2008-01-01,589.929
2009-01-01,599.975
2010-01-01,605.183
2011-01-01,620.477
2012-01-01,635.327
2013-01-01,649.165
2014-01-01,659.005
2015-01-01,670.377
2016-01-01,681.170
